status,url_length,domain_length,path_length,count_dots,count_hyphens,count_subdomains,has_ip,has_at,has_double_slash,is_https,num_params,sensitive_words,special_chars,digit_ratio,vowels_in_domain,has_prefix_suffix,avg_word_len_path,count_ampersands,count_equals,is_shortened,shannon_entropy,relative_entropy,count_slashes
0,37,19,11,3,0,1,0,0,0,0,0,0,7,0.0,5,0,4.5,0,0,0,3.787042812031905,0.5949277005860405,3
1,77,23,47,1,0,0,0,0,0,0,0,0,7,0.2207792207792207,8,0,3.0,0,0,0,4.393890444479776,0.914425777275516,5
1,126,50,20,4,1,3,0,0,0,1,3,2,19,0.1507936507936507,17,0,1.1428571428571428,2,3,0,4.753412094896157,0.703720978615574,5
0,18,11,0,2,0,1,0,0,0,0,0,0,5,0.0,3,0,0.0,0,0,0,3.461320140211008,0.6112027701673635,2
0,55,15,33,2,2,1,0,0,0,0,0,0,10,0.0,4,0,7.0,0,0,0,4.097662278358699,0.3608532906996232,5
1,32,24,1,3,1,2,0,0,0,0,0,0,8,0.0,8,1,0.0,0,0,0,3.666530173029465,0.5322188776271364,3
0,19,12,0,2,0,1,0,0,0,0,0,0,5,0.0,4,0,0.0,0,0,0,3.260828171224455,1.1452874838970504,2
1,81,27,47,2,0,1,0,0,0,0,0,0,8,0.2592592592592592,8,0,2.875,0,0,0,4.746420961145885,1.0480558454805498,5
0,42,34,1,2,0,1,0,0,0,0,0,0,6,0.0,14,0,0.0,0,0,1,4.195539744052798,0.0980400507639187,3
0,104,10,86,1,10,0,0,0,0,1,0,0,18,0.0769230769230769,4,0,5.818181818181818,0,0,0,4.481455590414628,0.458349121886998,6
0,56,22,26,3,0,1,0,0,0,1,0,0,9,0.0,8,0,5.5,0,0,0,4.1612690387114615,0.3543762812010064,4
0,43,16,19,2,3,1,0,0,0,1,0,0,9,0.1860465116279069,5,0,3.5,0,0,0,4.286275219617123,1.1320729932079638,3
0,83,14,61,1,9,0,0,0,0,1,0,0,15,0.0120481927710843,5,0,4.9,0,0,0,4.281211648465453,0.4297716712869245,4
1,31,10,14,2,0,0,0,0,0,0,0,0,6,0.064516129032258,3,0,3.333333333333333,0,0,0,3.8488846166291193,0.7852956250828538,3
0,25,16,1,2,0,1,0,0,0,1,0,0,6,0.0,4,0,0.0,0,0,0,3.753269689515108,0.657737542638191,3
1,51,23,7,3,0,2,0,0,0,0,1,0,10,0.0196078431372549,7,0,4.0,0,1,0,4.444401999165797,0.0398373516351191,4
